Zaman			Deger
5.06.2023 03:43:35 :            31.04
5.06.2023 03:43:35 :            33.36
5.06.2023 03:43:35 :            33.36
5.06.2023 03:43:35 :            31.04
5.06.2023 03:43:35 :            33.36
5.06.2023 03:43:35 :            31.04
5.06.2023 03:43:35 :            33.36
5.06.2023 03:43:35 :            33.36
5.06.2023 03:43:35 :            33.36
5.06.2023 03:43:35 :            33.36
5.06.2023 03:43:35 :            33.36
5.06.2023 03:43:35 :            31.04
5.06.2023 03:43:35 :            33.36
5.06.2023 03:43:35 :            31.04
5.06.2023 03:43:35 :            31.04
5.06.2023 03:43:35 :            33.36
5.06.2023 03:43:35 :            33.36
5.06.2023 03:43:35 :            33.36
5.06.2023 03:43:35 :            33.36
5.06.2023 03:43:35 :            31.04
5.06.2023 03:43:35 :            33.36
5.06.2023 03:43:36 :            33.36
5.06.2023 03:43:36 :            31.04
5.06.2023 03:43:36 :            33.36
5.06.2023 03:43:36 :            33.36
5.06.2023 03:43:36 :            31.04
5.06.2023 03:43:36 :            33.36
5.06.2023 03:43:36 :            33.36
5.06.2023 03:43:36 :            31.04
5.06.2023 03:43:36 :            33.36
5.06.2023 03:43:36 :            31.04
5.06.2023 03:43:36 :            33.36
5.06.2023 03:43:36 :            31.04
5.06.2023 03:43:36 :            33.36
5.06.2023 03:43:36 :            33.36
5.06.2023 03:43:36 :            31.04
5.06.2023 03:43:36 :            33.36
5.06.2023 03:43:36 :            33.36
5.06.2023 03:43:36 :            33.36
5.06.2023 03:43:36 :            33.36
5.06.2023 03:43:36 :            33.36
5.06.2023 03:43:36 :            31.04
5.06.2023 03:43:36 :            33.36
5.06.2023 03:43:36 :            33.36
5.06.2023 03:43:36 :            31.04
5.06.2023 03:43:36 :            33.36
5.06.2023 03:43:36 :            33.36
5.06.2023 03:43:36 :            31.04
5.06.2023 03:43:36 :            33.36
5.06.2023 03:43:36 :            31.04
5.06.2023 03:43:36 :            33.36
5.06.2023 03:43:36 :            33.36
5.06.2023 03:43:36 :            31.04
5.06.2023 03:43:36 :            33.36
5.06.2023 03:43:36 :            31.04
5.06.2023 03:43:36 :            31.04
5.06.2023 03:43:36 :            33.36
5.06.2023 03:43:36 :            31.04
5.06.2023 03:43:36 :            33.36
5.06.2023 03:43:36 :            33.36
5.06.2023 03:43:36 :            31.04
5.06.2023 03:43:36 :            33.36
5.06.2023 03:43:36 :            33.36
5.06.2023 03:43:36 :            31.04
5.06.2023 03:43:36 :            31.04
5.06.2023 03:43:36 :            31.04
5.06.2023 03:43:36 :            31.04
5.06.2023 03:43:36 :            31.04
5.06.2023 03:43:36 :            31.04
5.06.2023 03:43:36 :            33.36
5.06.2023 03:43:36 :            33.36
5.06.2023 03:43:37 :            31.04
5.06.2023 03:43:37 :            33.36
5.06.2023 03:43:37 :            33.36
5.06.2023 03:43:37 :            31.04
5.06.2023 03:43:37 :            33.36
5.06.2023 03:43:37 :            31.04
5.06.2023 03:43:37 :            31.04
5.06.2023 03:43:37 :            31.04
5.06.2023 03:43:37 :            31.04
5.06.2023 03:43:37 :            31.04
5.06.2023 03:43:37 :            31.04
5.06.2023 03:43:37 :            31.04
5.06.2023 03:43:37 :            33.36
5.06.2023 03:43:37 :            31.04
5.06.2023 03:43:37 :            31.04
5.06.2023 03:43:37 :            33.36
5.06.2023 03:43:37 :            31.04
5.06.2023 03:43:37 :            31.04
5.06.2023 03:43:37 :            31.04
5.06.2023 03:43:37 :            33.36
5.06.2023 03:43:37 :            33.36
5.06.2023 03:43:38 :            31.04
5.06.2023 03:43:38 :            31.04
5.06.2023 03:43:38 :            33.36
5.06.2023 03:43:38 :            33.36
5.06.2023 03:43:38 :            31.04
5.06.2023 03:43:38 :            33.36
5.06.2023 03:43:38 :            31.04
5.06.2023 03:43:38 :            31.04
5.06.2023 03:43:38 :            31.04
5.06.2023 03:43:38 :            31.04
5.06.2023 03:43:38 :            31.04
5.06.2023 03:43:38 :            31.04
5.06.2023 03:43:38 :            31.04
5.06.2023 03:43:38 :            33.36
5.06.2023 03:43:38 :            31.04
5.06.2023 03:43:38 :            31.04
5.06.2023 03:43:38 :            33.36
5.06.2023 03:43:38 :            31.04
5.06.2023 03:43:38 :            31.04
5.06.2023 03:43:38 :            31.04
5.06.2023 03:43:38 :            31.04
5.06.2023 03:43:38 :            33.36
5.06.2023 03:43:38 :            31.04
5.06.2023 03:43:38 :            31.04
5.06.2023 03:43:38 :            31.04
5.06.2023 03:43:38 :            31.04
5.06.2023 03:43:38 :            31.04
5.06.2023 03:43:38 :            31.04
5.06.2023 03:43:38 :            31.04
5.06.2023 03:43:38 :            31.04
5.06.2023 03:43:38 :            33.36
5.06.2023 03:43:38 :            31.04
5.06.2023 03:43:38 :            33.36
5.06.2023 03:43:38 :            31.04
5.06.2023 03:43:38 :            28.81
5.06.2023 03:43:38 :            33.36
5.06.2023 03:43:38 :            31.04
5.06.2023 03:43:38 :            31.04
5.06.2023 03:43:38 :            33.36
5.06.2023 03:43:38 :            28.81
5.06.2023 03:43:38 :            31.04
5.06.2023 03:43:38 :            31.04
5.06.2023 03:43:38 :            28.81
5.06.2023 03:43:38 :            31.04
5.06.2023 03:43:38 :            31.04
5.06.2023 03:43:38 :            33.36
5.06.2023 03:43:38 :            31.04
5.06.2023 03:43:38 :            31.04
5.06.2023 03:43:38 :            33.36
5.06.2023 03:43:38 :            33.36
5.06.2023 03:43:38 :            31.04
5.06.2023 03:43:38 :            31.04
5.06.2023 03:43:38 :            31.04
5.06.2023 03:43:38 :            31.04
5.06.2023 03:43:38 :            31.04
5.06.2023 03:43:38 :            31.04
5.06.2023 03:43:38 :            28.81
5.06.2023 03:43:38 :            31.04
5.06.2023 03:43:38 :            31.04
5.06.2023 03:43:38 :            28.81
5.06.2023 03:43:39 :            31.04
5.06.2023 03:43:39 :            31.04
5.06.2023 03:43:39 :            28.81
5.06.2023 03:43:39 :            31.04
5.06.2023 03:43:39 :            31.04
5.06.2023 03:43:39 :            31.04
5.06.2023 03:43:39 :            31.04
5.06.2023 03:43:39 :            28.81
5.06.2023 03:43:39 :            31.04
5.06.2023 03:43:39 :            31.04
5.06.2023 03:43:39 :            31.04
5.06.2023 03:43:39 :            31.04
5.06.2023 03:43:39 :            31.04
5.06.2023 03:43:39 :            28.81
5.06.2023 03:43:39 :            31.04
5.06.2023 03:43:39 :            31.04
5.06.2023 03:43:39 :            31.04
5.06.2023 03:43:39 :            31.04
5.06.2023 03:43:39 :            28.81
5.06.2023 03:43:39 :            31.04
5.06.2023 03:43:39 :            28.81
5.06.2023 03:43:40 :            28.81
5.06.2023 03:43:40 :            31.04
5.06.2023 03:43:40 :            28.81
5.06.2023 03:43:40 :            31.04
5.06.2023 03:43:40 :            31.04
5.06.2023 03:43:40 :            28.81
5.06.2023 03:43:40 :            31.04
5.06.2023 03:43:40 :            31.04
5.06.2023 03:43:40 :            28.81
5.06.2023 03:43:40 :            31.04
5.06.2023 03:43:40 :            31.04
5.06.2023 03:43:40 :            31.04
5.06.2023 03:43:40 :            31.04
5.06.2023 03:43:40 :            28.81
5.06.2023 03:43:40 :            31.04
5.06.2023 03:43:40 :            31.04
5.06.2023 03:43:40 :            28.81
5.06.2023 03:43:40 :            31.04
5.06.2023 03:43:40 :            31.04
5.06.2023 03:43:40 :            31.04
5.06.2023 03:43:40 :            31.04
5.06.2023 03:43:40 :            31.04
5.06.2023 03:43:40 :            28.81
5.06.2023 03:43:40 :            31.04
5.06.2023 03:43:40 :            28.81
5.06.2023 03:43:40 :            31.04
5.06.2023 03:43:40 :            31.04
5.06.2023 03:43:40 :            28.81
5.06.2023 03:43:40 :            31.04
5.06.2023 03:43:40 :            28.81
5.06.2023 03:43:40 :            28.81
5.06.2023 03:43:40 :            31.04
5.06.2023 03:43:40 :            28.81
5.06.2023 03:43:40 :            28.81
5.06.2023 03:43:40 :            28.81
5.06.2023 03:43:40 :            31.04
5.06.2023 03:43:40 :            28.81
5.06.2023 03:43:40 :            31.04
5.06.2023 03:43:40 :            28.81
5.06.2023 03:43:40 :            31.04
5.06.2023 03:43:40 :            31.04
5.06.2023 03:43:40 :            31.04
5.06.2023 03:43:40 :            31.04
5.06.2023 03:43:40 :            28.81
5.06.2023 03:43:40 :            28.81
5.06.2023 03:43:40 :            31.04
5.06.2023 03:43:41 :            28.81
5.06.2023 03:43:41 :            31.04
5.06.2023 03:43:41 :            31.04
5.06.2023 03:43:41 :            28.81
5.06.2023 03:43:41 :            31.04
5.06.2023 03:43:41 :            28.81
5.06.2023 03:43:41 :            31.04
5.06.2023 03:43:41 :            31.04
5.06.2023 03:43:41 :            31.04
5.06.2023 03:43:41 :            28.81
5.06.2023 03:43:41 :            31.04
5.06.2023 03:43:41 :            31.04
5.06.2023 03:43:41 :            31.04
5.06.2023 03:43:41 :            31.04
5.06.2023 03:43:41 :            28.81
5.06.2023 03:43:41 :            31.04
5.06.2023 03:43:41 :            31.04
5.06.2023 03:43:41 :            28.81
5.06.2023 03:43:41 :            31.04
5.06.2023 03:43:41 :            31.04
5.06.2023 03:43:41 :            28.81
5.06.2023 03:43:41 :            31.04
5.06.2023 03:43:41 :            28.81
5.06.2023 03:43:41 :            31.04
5.06.2023 03:43:41 :            28.81
5.06.2023 03:43:41 :            28.81
5.06.2023 03:43:41 :            31.04
5.06.2023 03:43:41 :            28.81
5.06.2023 03:43:41 :            28.81
5.06.2023 03:43:41 :            31.04
5.06.2023 03:43:41 :            31.04
5.06.2023 03:43:41 :            28.81
5.06.2023 03:43:41 :            28.81
5.06.2023 03:43:41 :            28.81
5.06.2023 03:43:42 :            31.04
5.06.2023 03:43:42 :            28.81
5.06.2023 03:43:42 :            28.81
5.06.2023 03:43:42 :            31.04
5.06.2023 03:43:42 :            31.04
5.06.2023 03:43:42 :            31.04
5.06.2023 03:43:42 :            31.04
5.06.2023 03:43:42 :            28.81
5.06.2023 03:43:42 :            31.04
5.06.2023 03:43:42 :            28.81
5.06.2023 03:43:42 :            28.81
5.06.2023 03:43:42 :            31.04
5.06.2023 03:43:42 :            31.04
5.06.2023 03:43:42 :            28.81
5.06.2023 03:43:42 :            28.81
5.06.2023 03:43:42 :            28.81
5.06.2023 03:43:42 :            31.04
5.06.2023 03:43:42 :            28.81
5.06.2023 03:43:42 :            28.81
5.06.2023 03:43:42 :            28.81
5.06.2023 03:43:42 :            31.04
5.06.2023 03:43:42 :            28.81
5.06.2023 03:43:42 :            31.04
5.06.2023 03:43:42 :            28.81
5.06.2023 03:43:42 :            28.81
5.06.2023 03:43:42 :            31.04
5.06.2023 03:43:42 :            26.66
5.06.2023 03:43:42 :            31.04
5.06.2023 03:43:42 :            28.81
5.06.2023 03:43:42 :            28.81
5.06.2023 03:43:42 :            28.81
5.06.2023 03:43:42 :            31.04
5.06.2023 03:43:42 :            26.66
5.06.2023 03:43:43 :            28.81
5.06.2023 03:43:43 :            28.81
5.06.2023 03:43:43 :            31.04
5.06.2023 03:43:43 :            31.04
5.06.2023 03:43:43 :            28.81
5.06.2023 03:43:43 :            28.81
5.06.2023 03:43:43 :            28.81
5.06.2023 03:43:43 :            28.81
5.06.2023 03:43:43 :            28.81
5.06.2023 03:43:43 :            28.81
5.06.2023 03:43:43 :            28.81
5.06.2023 03:43:43 :            31.04
5.06.2023 03:43:43 :            28.81
5.06.2023 03:43:43 :            28.81
5.06.2023 03:43:43 :            28.81
5.06.2023 03:43:43 :            28.81
5.06.2023 03:43:43 :            28.81
5.06.2023 03:43:43 :            28.81
5.06.2023 03:43:43 :            26.66
5.06.2023 03:43:43 :            28.81
5.06.2023 03:43:43 :            31.04
5.06.2023 03:43:43 :            28.81
5.06.2023 03:43:43 :            28.81
5.06.2023 03:43:43 :            31.04
5.06.2023 03:43:43 :            28.81
5.06.2023 03:43:43 :            28.81
5.06.2023 03:43:43 :            28.81
5.06.2023 03:43:43 :            26.66
5.06.2023 03:43:43 :            28.81
5.06.2023 03:43:43 :            28.81
5.06.2023 03:43:43 :            28.81
5.06.2023 03:43:43 :            28.81
5.06.2023 03:43:43 :            26.66
5.06.2023 03:43:43 :            28.81
5.06.2023 03:43:43 :            28.81
5.06.2023 03:43:43 :            26.66
5.06.2023 03:43:43 :            31.04
5.06.2023 03:43:43 :            28.81
5.06.2023 03:43:43 :            28.81
5.06.2023 03:43:43 :            28.81
5.06.2023 03:43:43 :            28.81
5.06.2023 03:43:43 :            28.81
5.06.2023 03:43:43 :            28.81
5.06.2023 03:43:43 :            26.66
5.06.2023 03:43:43 :            28.81
5.06.2023 03:43:43 :            26.66
5.06.2023 03:43:43 :            26.66
5.06.2023 03:43:43 :            28.81
5.06.2023 03:43:44 :            26.66
5.06.2023 03:43:44 :            28.81
5.06.2023 03:43:44 :            28.81
5.06.2023 03:43:44 :            26.66
5.06.2023 03:43:44 :            28.81
5.06.2023 03:43:44 :            28.81
5.06.2023 03:43:44 :            26.66
5.06.2023 03:43:44 :            31.04
5.06.2023 03:43:44 :            28.81
5.06.2023 03:43:44 :            26.66
5.06.2023 03:43:44 :            28.81
5.06.2023 03:43:44 :            28.81
5.06.2023 03:43:44 :            28.81
5.06.2023 03:43:44 :            28.81
5.06.2023 03:43:44 :            28.81
5.06.2023 03:43:44 :            28.81
5.06.2023 03:43:44 :            26.66
5.06.2023 03:43:44 :            26.66
5.06.2023 03:43:44 :            28.81
5.06.2023 03:43:44 :            28.81
5.06.2023 03:43:44 :            28.81
5.06.2023 03:43:45 :            31.04
5.06.2023 03:43:45 :            28.81
5.06.2023 03:43:45 :            28.81
5.06.2023 03:43:45 :            28.81
5.06.2023 03:43:45 :            28.81
5.06.2023 03:43:45 :            28.81
5.06.2023 03:43:45 :            28.81
5.06.2023 03:43:45 :            26.66
5.06.2023 03:43:45 :            28.81
5.06.2023 03:43:45 :            28.81
5.06.2023 03:43:45 :            26.66
5.06.2023 03:43:45 :            28.81
5.06.2023 03:43:45 :            26.66
5.06.2023 03:43:45 :            28.81
5.06.2023 03:43:45 :            28.81
5.06.2023 03:43:45 :            28.81
5.06.2023 03:43:45 :            28.81
5.06.2023 03:43:45 :            28.81
5.06.2023 03:43:45 :            28.81
5.06.2023 03:43:45 :            28.81
5.06.2023 03:43:45 :            28.81
5.06.2023 03:43:45 :            26.66
5.06.2023 03:43:45 :            28.81
5.06.2023 03:43:45 :            26.66
5.06.2023 03:43:45 :            28.81
5.06.2023 03:43:45 :            28.81
5.06.2023 03:43:45 :            26.66
5.06.2023 03:43:45 :            28.81
5.06.2023 03:43:45 :            28.81
5.06.2023 03:43:45 :            28.81
5.06.2023 03:43:45 :            28.81
5.06.2023 03:43:45 :            26.66
5.06.2023 03:43:45 :            26.66
5.06.2023 03:43:45 :            28.81
5.06.2023 03:43:45 :            28.81
5.06.2023 03:43:45 :            28.81
5.06.2023 03:43:45 :            28.81
5.06.2023 03:43:45 :            26.66
5.06.2023 03:43:45 :            28.81
5.06.2023 03:43:45 :            28.81
5.06.2023 03:43:45 :            26.66
5.06.2023 03:43:45 :            28.81
5.06.2023 03:43:45 :            26.66
5.06.2023 03:43:45 :            28.81
5.06.2023 03:43:45 :            28.81
5.06.2023 03:43:45 :            26.66
5.06.2023 03:43:45 :            28.81
5.06.2023 03:43:45 :            28.81
5.06.2023 03:43:45 :            26.66
5.06.2023 03:43:45 :            28.81
5.06.2023 03:43:45 :            28.81
5.06.2023 03:43:45 :            28.81
5.06.2023 03:43:45 :            28.81
5.06.2023 03:43:45 :            26.66
5.06.2023 03:43:45 :            26.66
5.06.2023 03:43:45 :            28.81
5.06.2023 03:43:45 :            28.81
5.06.2023 03:43:45 :            28.81
5.06.2023 03:43:45 :            28.81
5.06.2023 03:43:46 :            26.66
5.06.2023 03:43:46 :            28.81
5.06.2023 03:43:46 :            26.66
5.06.2023 03:43:46 :            26.66
5.06.2023 03:43:46 :            28.81
5.06.2023 03:43:46 :            26.66
5.06.2023 03:43:46 :            28.81
5.06.2023 03:43:46 :            28.81
5.06.2023 03:43:46 :            28.81
5.06.2023 03:43:46 :            28.81
5.06.2023 03:43:46 :            28.81
5.06.2023 03:43:46 :            26.66
5.06.2023 03:43:46 :            28.81
5.06.2023 03:43:46 :            26.66
5.06.2023 03:43:46 :            26.66
5.06.2023 03:43:46 :            26.66
5.06.2023 03:43:46 :            26.66
5.06.2023 03:43:46 :            26.66
5.06.2023 03:43:46 :            28.81
5.06.2023 03:43:46 :            26.66
5.06.2023 03:43:46 :            26.66
5.06.2023 03:43:47 :            26.66
5.06.2023 03:43:47 :            28.81
5.06.2023 03:43:47 :            28.81
5.06.2023 03:43:47 :            28.81
5.06.2023 03:43:47 :            26.66
5.06.2023 03:43:47 :            28.81
5.06.2023 03:43:47 :            26.66
5.06.2023 03:43:47 :            26.66
5.06.2023 03:43:47 :            26.66
5.06.2023 03:43:47 :            26.66
5.06.2023 03:43:47 :            26.66
5.06.2023 03:43:47 :            26.66
5.06.2023 03:43:47 :            26.66
5.06.2023 03:43:47 :            26.66
5.06.2023 03:43:47 :            28.81
5.06.2023 03:43:47 :            26.66
5.06.2023 03:43:47 :            26.66
5.06.2023 03:43:47 :            26.66
5.06.2023 03:43:47 :            26.66
5.06.2023 03:43:47 :            28.81
5.06.2023 03:43:47 :            26.66
5.06.2023 03:43:47 :            26.66
5.06.2023 03:43:47 :            28.81
5.06.2023 03:43:47 :            26.66
5.06.2023 03:43:47 :            28.81
5.06.2023 03:43:47 :            26.66
5.06.2023 03:43:47 :            26.66
5.06.2023 03:43:47 :            26.66
5.06.2023 03:43:47 :            26.66
5.06.2023 03:43:47 :            26.66
5.06.2023 03:43:47 :            28.81
5.06.2023 03:43:47 :            26.66
5.06.2023 03:43:47 :            26.66
5.06.2023 03:43:47 :            28.81
5.06.2023 03:43:47 :            26.66
5.06.2023 03:43:47 :            26.66
5.06.2023 03:43:47 :            26.66
5.06.2023 03:43:47 :            26.66
5.06.2023 03:43:47 :            28.81
5.06.2023 03:43:47 :            26.66
5.06.2023 03:43:47 :            26.66
5.06.2023 03:43:47 :            26.66
5.06.2023 03:43:47 :            26.66
5.06.2023 03:43:47 :            26.66
5.06.2023 03:43:47 :            28.81
5.06.2023 03:43:47 :            24.59
5.06.2023 03:43:47 :            26.66
5.06.2023 03:43:47 :            26.66
5.06.2023 03:43:47 :            26.66
5.06.2023 03:43:48 :            26.66
5.06.2023 03:43:48 :            26.66
5.06.2023 03:43:48 :            26.66
5.06.2023 03:43:48 :            28.81
5.06.2023 03:43:48 :            26.66
5.06.2023 03:43:48 :            26.66
5.06.2023 03:43:48 :            26.66
5.06.2023 03:43:48 :            26.66
5.06.2023 03:43:48 :            28.81
5.06.2023 03:43:48 :            26.66
5.06.2023 03:43:48 :            26.66
5.06.2023 03:43:48 :            28.81
